team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed,deviation,teamChanges,returning_players,dropped_players,added_players
Team Happy Cloud,r275delta #0891,yes,Team Happy Cloud,Nexus,9,Nexus,,Balance winning with fun,Nexus,Placement was about right; we were maybe a little weaker than our opponents but it was competitive,"Nexomania, top group",,east,9,25.75,M3152,M463,M501,D1,D4,"M3152, M463, M501, D1, D4, D4, G1, U0, U0",3048.25, , , ,"3082, 3059, 3042, 3010, 2986, 2967, 2931, 2919, 2703","26, 26, 26, 25, 22, 22, 15, 0, 0",nexus,12,16,15,3,12,-0.4845437118523489,,"GalaxyQuest#11908, Fade#12545, r275delta#1181, Saber#1831, bretmichales#1506, Malacath#11421, DrinkingBird#11409, WorstMedivh#1563, Chaotik#11849",,
Can't Connect Stuns,Slickrub#3833,yes,Cant't Connect Stuns,Nexus,4,Nexus,Ghostdunk and DKsalt,Balance winning with fun,Div A feel Correct,,,,west,8,26,M1601,M6943,M3616,M311,D4,"M1601, M6943, M3616, M311, D4, D5, P2, P3",3076.5, , , ,"3188, 3165, 3076, 2877, 2851, 2778, 2688, 2644","26, 26, 26, 26, 22, 21, 19, 18",nexus,11,18,13,2,12,-0.8075728530872482,We are going to lose Porky so we are going to be way less competitive.,"SHreddedWInd#11318, SIMPorky#1435, Arik#11379, themayneski#1727, brainer#1980, Slickrub#1164",,"Mochrie#1713(M311), ghostDunk#11951(P3)"
Caffeinated Knights,Arcloth#4515,yes,Caffeinated knights,Storm,4,Storm,1,Less competitive more for fun,Heroic,We were pretty out classed but its also storm div so we just needed to get good,Heroes lounge,,east,9,26.25,GM,M6579,M6821,M7408,M5722,"GM, M6579, M6821, M7408, M5722, D1, D1, D5, P3",3148, , , ,"3229, 3166, 3125, 3072, 3038, 2914, 2858, 2845, 2832","27, 26, 26, 26, 26, 25, 25, 21, 18",storm,8,15,1,0,6,-0.9258200997725514,Lovedart is moving and Saika moving to sub role,"LoveDart#1252, Orsmanthus#1512, Icy#12121, Arc#1250, Saikatora#11195, GreyColor#1257",,"Urid#1531(D1), sparklark118#1254(D5), LouSasle#11482(P3)"
Heavy Slaps (Withdrawn),De La Soak#1799,yes,Heavy Slaps,Division B East,7,Division B East,MegaKill#11478,Balance winning with fun,"Division B, maybe Division A?","Perfect, pretty on the nose.",Nexomania. About the same competitive level,,east,3,20,D1,D3,G4,,,"D1, D3, G4",2770.3333333333335, , , ,"2944, 2848, 2519","25, 23, 12",new team,,,,,,,,,,
FC Hong Kong,ohgeegeo#2017,yes,FC Hong Kong,D East,"Desdaa, Knotai, Splenda, Geo, Kalarix",Div D,"Alan Hicks, Jtizzle, Prostman Pat",Balance winning with fun,Div D,Good,No,"Starters will be Geo, Kalarix, Splenda, Jtizz, and Pat",east,8,16.75,P2,P3,P3,G4,G4,"P2, P3, P3, G4, G4, S1, S4, B3",2734.75, , , ,"2776, 2742, 2715, 2706, 2683, 2670, 2512, 2480","19, 18, 18, 12, 12, 10, 7, 3",d-east,13,10,18,5,10,0.39876133301351296,Should still be a Div D team - overall skill is about the same,"Desdaa#1192, Geo#1533, SplendaDaddy#11201, Kalarix#1137, AlanHicks#1446, tinyKnotai#1249",,"JTizzle#11683(G4), ProstmanPat#1486(B3)"
Roll1Esports,Rockyourworld#9093,yes,Roll 1 Esports,Div B,4,4,Jayzon,Balance winning with fun,"Low Div B, High div C",Great 50/50 in wins losses and games,You know us lots of NGS,"not really, we are probably less strong this season due to IRL and swaps/subs",west,9,17.75,P2,P3,P4,P4,P5,"P2, P3, P4, P4, P5, P5, G1, G1, G4",2788.5, , , ,"2836, 2793, 2775, 2750, 2748, 2747, 2742, 2725, 2657","19, 18, 17, 17, 16, 16, 15, 15, 12",b-west,12,12,16,4,11,-0.06281306099273383,Probably makes us a little worse,"R1EZad#1340, R1EJuaneba#1331, R1ERockYourW#1272, Mongoose#11247, R1EVelvet#1961, R1EPoe#1965, Mango#12425",R1EBigBeerd#1915,"Jayzon#11236(G4), Temper#11492(P4)"
Bronze6,Danny#5894,yes,Bronze69,Storm,4,Storm,"Albatoxx30k, Killidan",Less competitive more for fun,E,Meh,,,east,7,26.25,GM,M327,M2448,M8435,D1,"GM, M327, M2448, M8435, D1, D5, U0",3253.25, , , ,"3418, 3312, 3172, 3111, 3011, 2861, 2755","27, 26, 26, 26, 25, 21, 0",storm,8,13,2,0,6,-0.4629100498862757,,"QTM#11114, JuanPablo64#1371, WHDanny#1970, Kira#15528, Ferret102#1444",WHMasonBlaze#1874,"Albatoxx30K#1966(U0), Killidan#11910(M8435)"
COSMOS,oddthought#0194,no,,,,,,Balance winning with fun,,,"This iteration of COSMOS played in the lowest group of Road to Nexomania and finished with a 2-2 record. Otherwise it has not played in any other competitions. We are signed up for Nexomania, which starts in July...","I've played in many NGS seasons and I would place COSMOS in Div D this season. Three of us have traditionally played in C, mostly, but as a squad we're currently Div D material.",west,7,7.5,P4,S2,B3,B5,B5,"P4, S2, B3, B5, B5, U0, U0",2714.75, , , ,"2841, 2725, 2680, 2613, 2519, 2473, 2446","17, 9, 3, 1, 1, 0, 0",new team,,,,,,,,,,
ReGen Divine,YotaX#3909,yes,Regen Divine,B,"Waffle, Logic",B,"Slice, Valk",Balance winning with fun, B,Alright - we made it to playoffs so cant really say much. ,No,Slice First Season,west,6,20.25,D2,P1,P2,P3,P4,"D2, P1, P2, P3, P4, S1",2837.25, , , ,"2983, 2861, 2767, 2738, 2721, 2610","24, 20, 19, 18, 17, 10",b-east,11,12,14,3,10,-0.16666666666666666,,"WaffleCopter#11350, AbsoluteYota#1263, valkslays#1301, ppWOLO#1408, Logic#12831",ArchValley#1539,slice#11764(P2)
Artemis,S3V3N#3119,yes,artemis,d west,3,d?c?,"GrooveChamp#1197 , Tikor#1107 , KillerFairy#11368",Less competitive more for fun,"dunno, d?","okay, but we had roster issues and had to withdraw",zero,"pretty new roster, will definitely be playing more casually overall this season",west,8,12.75,P2,G5,G5,S1,S2,"P2, G5, G5, S1, S2, S4, B1, U0",2727.75, , , ,"2850, 2737, 2697, 2627, 2585, 2568, 2470, 2460","19, 11, 11, 10, 9, 7, 5, 0",c-west,0,24,0,0,12,-4.209878492673741,decreased competitive level,,,
I'm Not Trolling,syhr #3578,yes,I'm Not Trolling,Nexus,same players,nexus,none,Balance winning with fun,"Staying in Nexus is probably fine, even though we ended second place there was a large gap between the top team and the other 6",It was good except the one team that was way better than the rest,no,none,west,6,24,GM,M1179,D3,P1,P5,"GM, M1179, D3, P1, P5, G3",2911.25, , , ,"3015, 2936, 2926, 2768, 2695, 2639","27, 26, 23, 20, 16, 13",nexus,13,13,18,5,12,0,we might be slightly less competitive this season because we are going to take it more casually,"TheOnlyNavii#1491, Sil3ntx#1709, Realistic#1240, syhr#1611, Shotdown007#1198, Crimsonchin#1607",,
Rise N' Grind,Aerus #2390,yes,Rise N' Grind,D  East ,7,D East,n/a,Balance winning with fun,D ,Placement was good,Heroes Lounge previously. Experience was good,n/a,east,7,16.75,D4,P4,G1,G3,G3,"D4, P4, G1, G3, G3, U0, U0",2743, , , ,"2775, 2767, 2731, 2699, 2490, 2469, 2412","22, 17, 15, 13, 13, 0, 0",d-east,12,11,15,3,10,0,n/a,"BrobiWan#1428, BrothrNature#11870, LastDispatch#1995, LifeDeeGee#1546, Aerus#11567, IvanDrago#1596, AzraelAbyss#11420",,
Protectors of Aiur,urdersterderner#2772,yes,Protectors of Aiur,C East,"ikpliktek, Orion, Tracer, and SgtScoops are all returning players. Our fifth, eDay15 is returning as a sub (I know the NGS counts them all the same) Two of our subs are returning, RedBeard, and Pants",All returning players were in Div C East last season,TheSound,Very Competitive,"I believe we still belong in C, but should be a strong team in the Div. I'm not certain we're ready for the jump to Div B quite yet.",We were placed pretty fairly last season. We had a lot of really healthy back and forths with the teams and ended up somewhere in the middle of the standings.,"We haven't played anything since season fifteen. We played in Nexomania and XGDI before last season, but with a slightly different roster so the experience has less weight.",,east,8,19.5,D4,D5,P3,P4,G2,"D4, D5, P3, P4, G2, G4, S1, U0",2857, , , ,"2883, 2863, 2850, 2832, 2743, 2716, 2677, 2665","22, 21, 18, 17, 14, 12, 10, 0",c-east,14,11,19,5,11,0.1259881576697424,"TheSound was in Div A, but is replacing one of our stongest players, so I don't believe it is a significant change in team strength.","eDay15#1828, RedBeard#1652, ikpliktek#1739, SgtScoops#1364, Tracer#12386, Orion#1510, pants#1191",TheBoomer444#1753,TheSound51#1915(D5)
Fountain Snipers,Arco#1165,yes,Fountain Snipers,Div C west,6,Div C,Dagnie,Balance winning with fun,C-D west,Placemnt was pretty good. Keep up the good work!,Nexomania - Casual,no,west,7,15.25,P4,G1,G1,G2,G3,"P4, G1, G1, G2, G3, G3, U0",2792, , , ,"2892, 2817, 2737, 2722, 2685, 2680, 2649","17, 15, 15, 14, 13, 13, 0",c-west,14,13,19,5,12,-0.8770580193070293,No,"SilverJackal#1177, Lompico#1308, Arco#11808, Rusty#1489, AtomicOnion#11983, Mosley#1820",,Dagnie#1853(U0)
Banned For Throwing,shogunmisa#4351,yes,BFT,c,3,c,sodium andlion,Balance winning with fun,c,cool,nexomania,nope,either,7,15.5,P3,P3,P5,S1,S2,"P3, P3, P5, S1, S2, S2, U0",2773.5, , , ,"2844, 2805, 2770, 2675, 2577, 2557, 2532","18, 18, 16, 10, 9, 9, 0",c-west,14,11,20,6,12,-0.7016464154456235,no,"JonLots#1618, Th3Backflip#1754, SHOGUNMISA#1360, DieCello#1173",Pentamachina#1672,"Sodium#1380(P3), SheepishLion#11531(P5), Peldor#1697(S2)"
Brickhouse,tater#9317,yes,Brickhouse,C East,"Tater, DizzyWingman, Ronin, SullHouse, Shaiborg, Zesty, LadyRonin","C East (All but LadyRonin), D East (LadyRonin)",,Balance winning with fun,C East,"Very fun! We had some teams in the division who were losing every set, some were good sports and some were not!",None,,west,7,18.5,D4,P2,P4,P5,P5,"D4, P2, P4, P5, P5, G1, S3",2829.5, , , ,"2918, 2872, 2788, 2740, 2726, 2718, 2695","22, 19, 17, 16, 16, 15, 8",c-east,19,4,28,9,11,1.259881576697424,,"DizzyWingman#1907, tater#11829, Zesty#12751, Shaiborg#1850, Ronin#12758, LittleSull#1113","Hungribear#1998, RocketMnstr#1887",LadyRonin#1375(S3)
Creepy Crawly Spiders,Gib#2512,yes,Creepy Crawly Spiders,E West,"Gib, Cordona, Auxilium + Ossprey","E, E, E + B",PrimaryMeteo,Very Competitive,"We made E finals and added a higher rank player, so E or D.  ","We had only like four competitive matches last season, but we did get smoked in the final, so there ya go",Nexomania.  not a very competitive event,,west,5,13.5,P2,G1,G5,S2,S3,"P2, G1, G5, S2, S3",2738.25, , , ,"2782, 2761, 2727, 2683, 2473","19, 15, 11, 9, 8",e-west,19,8,26,7,12,0.6705522259822752,who can say?,"Gib#1948, Cordona#2522, Auxilium#11355","Savior123#1254, EdemaRuh#21943, Lulu#1533","Ossprey#1431(P2), PrimaryMeteo#1725(S3)"
ReGen Rebel,Vella#7710,yes,ReGen Rebel,C,"All minus pat, the traitor.",C,-,Balance winning with fun,"C, maybe D",Yeah we got stomped but we're working on it,Nada,Well ya win some ya lose a lot. That's just how it goes,east,7,17.75,D4,P2,P5,G2,G2,"D4, P2, P5, G2, G2, G2, S2",2722.75, , , ,"2774, 2729, 2721, 2667, 2666, 2630, 2579","22, 19, 16, 14, 14, 14, 9",c-east,9,17,11,2,11,-0.8819171036881969,Pat said we int too much and wanted a new team to watch int,"Beastrend#2219, Taco#1912, XxLuNaTiCxX#11820, Velirayvia#1919, Harrison#1668, Meowmeowcatz#1853, Cauthon#1797",ProstmanPat#1486,
Macro Machines,RATZEN#8930,yes,Bunker Fun Time,C,5,C,Hoku Nix Ronno,Less competitive more for fun,D/C we are flexible in terms of which div we wind up in,We did ok.  We had some issues with team chemistry that hurt us.  We lost our highest ranked player but should be in an ok spot.  Last season we were the 8 seed in the playoffs for Div C East..,We are going to do the upcoming Nexomania Season,,east,8,18.75,D5,P1,P3,P5,G1,"D5, P1, P3, P5, G1, S1, S1, B1",2788, , , ,"2949, 2798, 2736, 2669, 2619, 2619, 2566, 2481","21, 20, 18, 16, 15, 10, 10, 5",new team,,,,,,,I think we are close to the same as last year.  Losing our highest ranked DPS hurts a little.  I think we can be a strong D team or middle of the pack C team.,,,
CM After Dark,Tiger#1970,no,,,,,,Very Competitive,,,Road to Nexomania  Div B level,,west,5,22,D2,D4,D5,D5,P1,"D2, D4, D5, D5, P1",2915.75, , , ,"2990, 2927, 2916, 2830, 2790","24, 22, 21, 21, 20",new team,,,,,,,,,,
Psistorm Probes,Vellira,yes,PSISTORM Probes,A West,3,A,New Roster,Balance winning with fun,B,"B; Average, I think we should have been placed a bit different last season but it was close",,,west,7,20.75,D2,P1,P1,P2,P2,"D2, P1, P1, P2, P2, P4, G1",2883.5, , , ,"2966, 2916, 2843, 2809, 2804, 2793, 2540","24, 20, 20, 19, 19, 17, 15",a,13,13,18,5,12,-0.1426825363838374,,"Blañk#1596, HurinThalion#1947","GGVellira#1540, Ron#13187, Tėal#11778","Bramble#11235(P2), TheRedRook#11456(P1), fullthrottle#1909(G1), Nimsy#1584(P4), Vellira#11923(P1)"
Shut Up and Rage!,HuckIt#0851,yes,Midnight of Mummies,B,5,B,"TopGun707, MDC, Beachyman",Balance winning with fun,B,B was good.,"we played in the Nations Cup qualifiers and got trounced, 0-2, 0-2.  ","We have 3 returning starters, HuckIt, mZ17, Bricky.  Beachyman and Topgun707 will be replacing Andrew and Nemesiis.  And MDC and Borisshoes will be subs--also Macdaddyo if he ever accepts his invite.",west,8,20.75,D3,P1,P1,P1,P2,"D3, P1, P1, P1, P2, P4, P4, P5",2873.75, , , ,"2905, 2883, 2859, 2848, 2799, 2708, 2687, 2680","23, 20, 20, 20, 19, 17, 17, 16",new team,,,,,,,we should be about the same,,,
Maximum Thrust,Neone #2123,yes,No change,D West,4,D West,SleepyBear,Balance winning with fun,We were competitive in D-West.,Placement team is amazing. Especially Neone.,Not lately.,We've been D-West anchors.,west,5,12.25,G2,G3,G4,S1,S4,"G2, G3, G4, S1, S4",2674.75, , , ,"2710, 2699, 2651, 2639, 2576","14, 13, 12, 10, 7",d-west,16,8,21,5,10,0.8017837257372732,"No, he's a real-life friend who is subbing in for a season while UzerError has a newborn.","Lyingpastry#1866, Xehlyv#1663, Neone#1749, Vacuity#1756, Wstar#1780","uZerErROr#1398, MrBrightside#1867",
30 Seconds to Mosh,borntoshine#5141,yes,30 Seconds to Mosh,E East,8,E East,1,Balance winning with fun,E or D,Placements did a great job with E East last season.,Nexomania in the lowest division,,east,9,8.5,S1,S1,S4,S4,S5,"S1, S1, S4, S4, S5, B2, B2, U0, U0",2678.5, , , ,"2897, 2667, 2579, 2571, 2528, 2524, 2492, 2486, 2429","10, 10, 7, 7, 6, 4, 4, 0, 0",e-east,22,7,32,10,14,0.8660254037844387,We've lost a few players and brought on a new one. We've also had some people switch to a sub position instead of main roster.,"BornToShine#11556, Leinad#1643, Raka#11141, TheCaptain#12345, MowBWan#1362, Knivers#1675, DirePants#125315, SubZero#1577",,HunterX#1782(U0)
Big Push Power,Soverne#1166,yes,Big Push Power,Heroic,Everyone but Iron,Heroic Divison,Iron,Less competitive more for fun,Heroic,Last time our placement was good,Not in the past 2 years.,No.,west,9,26,M342,M8862,M480,M2671,D1,"M342, M8862, M480, M2671, D1, D2, D2, D5, U0",3077.75, , , ,"3226, 3143, 2973, 2969, 2952, 2934, 2928, 2911, 2865","26, 26, 26, 26, 25, 24, 24, 21, 0",heroic,18,11,22,4,12,0.1350858067395748,Team now has a dedicated healer who will open up other players roster,"Alpharak#1610, Finalstand#1431, SexyExy#1581, C2D2#11331, FlyestRaven#1595, koncept#11133, Soverne#1435","Hyva#1281, fuz#11423","MRTtO#1935(D2), Iron#11195(D2)"
Gen.M Esports,infa_fox#0537,yes,Team Name,B,7,"A - 2, B - 5",,Balance winning with fun,A,"The 5 that were in B finished in coastal finals, the two in A had one winning it and another making playoffs",,This team is an A team from experience level and knowing where/how teams stack up from previous seasons,east,7,21.5,D1,D5,P1,P1,P1,"D1, D5, P1, P1, P1, P2, P2",2923.75, , , ,"3023, 2933, 2870, 2869, 2772, 2770, 2769","25, 21, 20, 20, 20, 19, 19",new team,,,,,,,,,,
Really Aggro Ghoul Elites,k4k#0044,yes,Souls in Slowmo,Div E East,6,Div E East,TrueAfro,Balance winning with fun,E/D,Placement felt right and Division felt balanced ,No,"New Tank and shut caller, Dontris is a sub this season",east,8,9.75,G4,S1,S1,S4,S4,"G4, S1, S1, S4, S4, B1, B1, B2",2608, , , ,"2662, 2656, 2563, 2551, 2543, 2507, 2484, 2385","12, 10, 10, 7, 7, 5, 5, 4",new team,,,,,,,,,,
U.S. Army Esports,Frackshure#8346,no,,,,,,Very Competitive,,,Team played in Heroes Lounge (NA) before Season 10 of NGS.,Would like to place in Div C West,west,8,17.75,P1,P2,P5,P5,S1,"P1, P2, P5, P5, S1, S1, B3, U0",2757.5, , , ,"2840, 2806, 2707, 2677, 2672, 2617, 2590, 2583","20, 19, 16, 16, 10, 10, 3, 0",new team,,,,,,,,,,
YCMYCCaSTEp8:TheLastPatch,andrade#6969,yes,Ycmyccasteep8:thelastpatch,E,"6, all on same team",All E,,Less competitive more for fun,E,Accurate,,,east,6,0.5,B4,U0,U0,U0,U0,"B4, U0, U0, U0, U0, U0",2597, , , ,"2664, 2640, 2566, 2518, 2436, 2395","2, 0, 0, 0, 0, 0",e-east,19,13,26,7,14,0.21650635094610968,,"andrade#1700, sarahlynneee#1194, camel#11296, Galactose#11687, AuraLuna#1995, shancb9#1737",,
210 Blechman Street,Asterix#3877,yes,210 Blechman Street,E West,Should be all of them ,E West,Malfrex#1131,Less competitive more for fun,"D West, I guess. ","We did well, but we have been demoted from D West before. ",No. ,We be chillin',west,8,12.5,P4,G3,S1,S1,S1,"P4, G3, S1, S1, S1, S2, S3, B2",2669.5, , , ,"2744, 2739, 2601, 2594, 2567, 2551, 2520, 2427","17, 13, 10, 10, 10, 9, 8, 4",e-west,22,3,32,10,12,1.4752148971610053,D West,"Slowcheetah#2285, Zamphex#1450, asterix#1656, Arta#11176, DungBeetle#1338, lloydoh#1232, dnomn8r#1963",,Malfrex#1131(S2)
Cat Daddies,Tae#0254,no,,,,,,Less competitive more for fun,,,NA,,east,5,24.5,M598,D1,D2,D3,D4,"M598, D1, D2, D3, D4",2961.25, , , ,"3091, 2955, 2925, 2874, 2841","26, 25, 24, 23, 22",new team,,,,,,,,,,
Under Newb Management,Liddell #7334,yes,Under Newb Management,Heroic,"Same roster exacly, minus I just Fizzed who left for another team. ",Heroic,No new Players,Balance winning with fun,"We strongly thing that between losing our best player, Fizz, and the lower playing time we all have these days we are best suited for Nexus. Heroic was a little too competitive for us and we want to be more relaxed and run fun comps (like what Gillyshark has done)","Heroic was difficult. We certainly deserved to move up, but we aren't a skilled group and don't get sweaty in practice anymore so the pure skill in that div was overwhelming at times. ",We did the Qualifer for the International tournament and lost the round robin stage. ,"Like I said we are all more casual and lost our most skilled player. We also want to to bring in some people in to mentor, and being in a Nexus level div would allow them to get more playing time. ",east,7,25,M6,M167,D2,D2,D2,"M6, M167, D2, D2, D2, D3, D4",2985.25, , , ,"3032, 3028, 2950, 2931, 2924, 2917, 2915","26, 26, 24, 24, 24, 23, 22",heroic,11,18,13,2,12,-1.0806864539165983,Ijustfizzed Left the team. ,"BioVeran#1500, Liddell#1916, alanbydfault#1672, Zloth#11634, AGsilverAG#1445, Birdie#11524, SneakyGlades#1116",IJustFizzed#1820,
Heavy Hitterz,Tezo #8795,yes,Heavy Hitterz,Nexus,6,Div Nexus,1,Balance winning with fun,Heroic this time.,it was good fit just would like a more competitive this time with the new team member.,Heros Internation,none at the moment,west,7,23.25,M19,M9370,D4,P2,P3,"M19, M9370, D4, P2, P3, P5, G1",3041.25, , , ,"3242, 3107, 2967, 2849, 2819, 2761, 2758","26, 26, 22, 19, 18, 16, 15",nexus,15,14,19,4,12,0.16151457061744964,,"Kstar#11372, Mooncake#12579, apemonkey#1799, Tezopaco#1840, Thrasymicus#1341, Xanthanarium#1323","Zentgraf#1420, AliciaBoo#1116",Chaotic#1227(M9370)
