team,captain,last_season,old_team,old_division,returningPlayers,returningPlayersDiv,newPlayers,compLevel,divisionPlacement,priorPlacement,otherLeagues,otherInfo,coast,player_count,avg_rank_top_four,rank_1,rank_2,rank_3,rank_4,rank_5,all_ranks,avg_mmr_top_four,max_mmr,mean_mmr,min_mmr,all_mmr,all_level,season_11_div,wins,losses,points,dominations,matchesPlayed
ProBUs,EightBit#3543,yes,ProBUs,B Northeast,4,B,Muffin,Balance winning with fun,We're a High B/Low A team,It has been accurate. ,"Not really, all other ProBUs teams are palying with different rosters.","All our players have had their rank boosted due to playing smurf games with Muffin, Xatiie, PopoJoe.",east,6,26,GM,M39,M157,D1,D3,"GM, M39, M157, D1, D3, D5",2879,3032,2844.6666666666665,2761,"3032, 2860, 2822, 2802, 2791, 2761","27, 26, 26, 25, 23, 21",b-northeast,18,5,26,8,11
sOaK eVeRy LaNe,dmn#0284,yes,sOaK eVeRy LaNe,B West,2,B West,We have two new players filling the tank and dps roles,Balance winning with fun,C West or B West again depending on the skill level of the incoming new teams,We were a veteran team with main (full-time) roster players with lots of experience playing together. Our placement was correct. The top two teams played at a higher level than the rest of the field.,No.,"We are basically a brand new team. For S12 we will not have some of our most experienced players and shotcaller/drafter. Kid, who was our tank from last season, is on the roster but is expected to play only if and when our full-time players are unavailable.",west,6,22,D1,D3,D4,P3,P3,"D1, D3, D4, P3, P3, G2",2785.75,2893,2745.6666666666665,2664,"2893, 2781, 2755, 2714, 2667, 2664","25, 23, 22, 18, 18, 14",b-west,17,5,24,7,10
Clouded Minds,Starknight#6294,yes,Clouded Minds,Div D West,3,Div D,"Jayzon, Kian",Balance winning with fun,Div C West,"Fair - had a new player on the team last season, was not sure how things were going to play out.",No,,west,5,17.75,D5,P3,P4,G1,G5,"D5, P3, P4, G1, G5",2757.75,2895,2729.2,2615,"2895, 2733, 2718, 2685, 2615","21, 18, 17, 15, 11",d-west,22,0,33,11,11
Randy Newman,CoolSexGuy420#0526,yes,Randy Newman,B West,4,B West,Denkstrum,Less competitive more for fun,B,I'd say our placement was fair last season,None,None,west,9,22,D3,D4,D4,D5,D5,"D3, D4, D4, D5, D5, P3, G1, G2, S1",2823.5,2924,2708.3333333333335,2332,"2924, 2857, 2760, 2753, 2729, 2699, 2669, 2652, 2332","23, 22, 22, 21, 21, 18, 15, 14, 10",b-west,8,14,11,3,10
Lurk Patrol,Hidef #2374,yes,Lurk Patrol,A west,3,A west,"CortSnort and Everheart, both new to competitive hots",Balance winning with fun,C west or D west,"0/10. I didnt finish last season due to placements, as we were placed way too high. the disparity in our placement lead to a lot of strife in the team- you'll notice that only a few of us remained on the team.",not as a team,"as said above, we are a very different team then LP was last season.  we still have the same values, but I dont think last seasons placement should be considered at all this season. also, if it makes it helps tip a decision, Radic is on the team as a sub, and I expect him to only play a few games this season.  ",west,6,15.5,P1,P5,G2,G4,S5,"P1, P5, G2, G4, S5, U0",2617.75,2730,2522.8333333333335,2329,"2730, 2693, 2655, 2393, 2337, 2329","20, 16, 14, 12, 6, 0",a-west,7,21,8,1,12
Minion Miners,MarshHole#0492,yes,Minion Miners,DIv A West,8,NA,0,Balance winning with fun,Nexus,We dominated the regular season and lost in an unfortunate finals series. I think we are ready to move up a division based on our performance last season.,NA,NA,east,8,26,M1062,M233,M1079,M688,D1,"M1062, M233, M1079, M688, D1, D4, D5, G1",2916.25,2963,2834.25,2604,"2963, 2922, 2892, 2888, 2832, 2797, 2776, 2604","26, 26, 26, 26, 25, 22, 21, 15",a-west,23,7,29,6,12
FC Hong Kong,ohgeegeo#2017,yes,Same,Div D East,5,Div D,Ghola,Balance winning with fun,Div D - we are scrimming a lot and seem to be around 50/50 vs D teams,"We were placed correctly but there is a big jump from E to D, it was brutal",Summer event - it was fun - last match was pretty competitive,"Covered above I think - we are honest, don't want to roll people - we feel D is very competitive and we can make the playoffs this season",east,7,16.75,P2,P2,G1,G2,G3,"P2, P2, G1, G2, G3, S3, S4",2698,2751,2640.714285714286,2449,"2751, 2711, 2671, 2659, 2653, 2591, 2449","19, 19, 15, 14, 13, 8, 7",d-east,8,16,11,3,11
ReGen Ghost,Mongoose#1125,yes,ReGen Ghost,B NE,4,B,"Krush and Carve are subs, likely lower that the main 5. Will likely add one more player after this form as we're losing Lid",Balance winning with fun,B,,,,east,8,22,D2,D3,D5,P1,P1,"D2, D3, D5, P1, P1, P4, P4, P5",2813.5,2864,2732.875,2569,"2864, 2855, 2768, 2767, 2766, 2655, 2619, 2569","24, 23, 21, 20, 20, 17, 17, 16",b-northeast,19,6,26,7,11
Roll1Esports,Rockyourworld#9093,yes,Roll 1 Esports,Division C,"4 main roster, 4 subs",C,No new players,Balance winning with fun,We are Either Top of Div C or bottom of Div B. We placed 8th but managed to win div C west.,"I believe it was fine, hard to tell as we went 50-50 but managed to run to the finals.","NGS, slash GG, HL, nexomania",most of us are high gold to high plat. ,west,7,21.75,M581,D5,P1,P1,P3,"M581, D5, P1, P1, P3, P3, P3",2806.25,2919,2763.1428571428573,2669,"2919, 2794, 2756, 2756, 2739, 2709, 2669","26, 21, 20, 20, 18, 18, 18",c-west,14,13,18,4,11
Archon,,no,,,,,,Balance winning with fun,,,NGS and HL highest level,N/A,west,5,26.5,GM,GM,M2214,M1707,M490,"GM, GM, M2214, M1707, M490",2994.25,3037,2955,2798,"3037, 3001, 2975, 2964, 2798","27, 27, 26, 26, 26",new team,,,,,
COSMOS,oddthought#0194,yes,COSMOS:Redshift and COSMOS:Blueshift (members from each now playing under the current unified COSMOS),B West,All played last season,"odd, SilverJackal (B West playoffs); Atirce, Korsakov, Mind (B West, winless season); Nae, Hex (subs/did not play)",None,Very Competitive,This team is Division C calibre. Only two of our players were on the COSMOS:Redshift team that qualified for the Div B West playoffs last season. Three of our players were members of a winless COSMOS:Redshift in Division B West last season.,COSMOS:Redshift were placed correctly in Div B West. COSMOS:Blueshift should have been placed in Div C West.,We are participating in the CCS Nexomania scrim league in a mid-tier group. Our current Win-Loss is 8-7.,"After playing in NGS for many seasons, I'd say our current line-up would possibly be a playoff team in Div C, and would likely struggle for any points at all in Div B.",west,9,20.25,D5,D5,P1,P2,P2,"D5, D5, P1, P2, P2, P3, G2, G4, G4",2765.25,2814,2644.4444444444443,2443,"2814, 2791, 2784, 2672, 2609, 2594, 2561, 2532, 2443","21, 21, 20, 19, 19, 18, 14, 12, 12",b-west,11,11,15,4,10
FF & the Pancakes,Yager#7315,yes,FF & the Pancakes,Div E East,6,Div E East,,Less competitive more for fun,Division E,Perfect,"Yes, NGS and Heroes Lounge, Low end divisions",,east,6,11.25,G2,G2,S2,S3,B1,"G2, G2, S2, S3, B1, B4",2619.25,2729,2557.8333333333335,2418,"2729, 2675, 2586, 2487, 2452, 2418","14, 14, 9, 8, 5, 2",e-east,20,6,26,6,11
Team Happy Cloud,bretmichaelsrulez#6673,yes,Team Happy Cloud ,Nexus Division ,8,Nexus Div,Saber,Very Competitive,Nexus Div or storm Div+. Did well in Nexus but had a lot of issues with a consistent roster. Hoping the addition of Saber as a starter addresses consistency issues. We've frequently take games off of Storm + Heroic teams in scrims and prefer to scrim Nexus+ ,Excellent. We trust the NGS division placement gods,"NGS numerous seasons, Heroes Hearth, CCS, 2 former TESPA players ",,east,9,26,M7839,M64,M58,M1661,M387,"M7839, M64, M58, M1661, M387, D2, D3, D4, P1",2964.5,2986,2872.8888888888887,2631,"2986, 2983, 2973, 2916, 2902, 2861, 2826, 2778, 2631","26, 26, 26, 26, 26, 24, 23, 22, 20",nexus,11,10,14,3,9
Spooky Ghosts,LittleWolf#7469,yes,Spooky Ghosts,B west,5,B west,Nullius#1583,Balance winning with fun,B west,I feel prior placement was fair,Heroes lounge div b,,west,6,21.25,D1,D4,P1,P3,P3,"D1, D4, P1, P3, P3, P5",2832,2936,2793.1666666666665,2675,"2936, 2818, 2815, 2759, 2756, 2675","25, 22, 20, 18, 18, 16",b-west,11,12,15,4,10
Team Rainbow Strike Go!,Robear#8837,yes,Team Rainbow Strike Go!,Div C,"7, we want to add one more",All were Div C,"NoticeMe, can't figure out how to add him yet",Balance winning with fun,"Div C again, we will be losing our best player and I fear won't be as competitive as we once were.","It was good overall, disappointed in our performance, we ended up #4 seed, but didn't make it past the first round of the playoffs.","Not recently, last was Heroes Lounge, and we did the CCS thing, but not the most recent round.","Nah, Div C is probably where we should be again.",west,7,20,D5,D5,P2,P2,P4,"D5, D5, P2, P2, P4, P5, S1",2755,2834,2687.5714285714284,2533,"2834, 2744, 2728, 2714, 2660, 2600, 2533","21, 21, 19, 19, 17, 16, 10",c-west,16,7,23,7,11
Emanon,Hydrahawk#6166,yes,Emanon,B East,4,B,1,Balance winning with fun,B,Good placement!,None,None,east,5,24,D1,D2,D2,D3,U0,"D1, D2, D2, D3, U0",2881.75,3006,2819,2568,"3006, 2974, 2811, 2736, 2568","25, 24, 24, 23, 0",b-southeast,18,8,23,5,11
Phoenix Rising Ruby,Mixelz#9761,yes,PHOENIX RISING RUBY,Nexus,"Dane, Frag, H20, Mixelz ",Nexus,Wahooie,Balance winning with fun,Nexus,"Pretty good,",N/A,,either,9,26,M772,M1084,M1,M134,D1,"M772, M1084, M1, M134, D1, D1, D2, D2, P5",2893.25,2917,2864.8888888888887,2825,"2917, 2895, 2886, 2875, 2859, 2852, 2845, 2830, 2825","26, 26, 26, 26, 25, 25, 24, 24, 16",nexus,16,8,18,2,9
Better Than Bots,Crafty_Trent#7944,yes,Better Than Bots,A West,5,Div A,"TheSandWhale, Urid, and Heisenburgla",Balance winning with fun,"We would like to compete in Division A again, but in the EAST.",I believe we probably should have spent another season in Division B because there was an obvious skill gap between the bottom two and teams and the others.,"We no longer play in Heroes Lounge, but we did in Division 2 and when we played there it was tough.","We are making big changes and are wanting to play in the East now, so we will be playing a ton of completely new teams to us.",either,8,25,GM,D1,D2,D2,D3,"GM, D1, D2, D2, D3, D4, D4, G2",2923.5,3038,2829.5,2703,"3038, 2936, 2881, 2839, 2788, 2731, 2720, 2703","27, 25, 24, 24, 23, 22, 22, 14",a-west,8,20,9,1,12
ReGen,Albatoxx#3479,yes,BeefBois,A East,All,Nexus-Storm,,Very Competitive,Storm,Very well and fair. The admins took into consideration what rank we wanted to be placed in very well,N/A,N/A,west,6,26.75,GM,GM,GM,M4712,M2212,"GM, GM, GM, M4712, M2212, M480",3022.25,3091,2977.5,2886,"3091, 3052, 3023, 2923, 2890, 2886","27, 27, 27, 26, 26, 26",storm,17,12,4,0,7
Phoenix Rising Xanthite,Idioms#3361,yes,Phoenix Rising Xanthite,Div A East,8,Div A East,Tomgen is new addition,Balance winning with fun,Nexus likely,"It was fun, but Div A east was not competitive outside of the top 4 seedings.","Nexomania - only play for fun, not competitive minded nor do we try to win.",,east,9,25.5,M1394,M3,D1,D1,D1,"M1394, M3, D1, D1, D1, D3, D4, D4, G3",2880.75,2911,2826.8888888888887,2727,"2911, 2876, 2873, 2863, 2846, 2794, 2786, 2766, 2727","26, 26, 25, 25, 25, 23, 22, 22, 13",a-east,17,7,22,5,10
death and delay,Delta-Sniper#6553,yes,death and delay,B East,"Delta, Mac, MDC, Aiur, Ripper","B, B, B, B, A",,Balance winning with fun,B East,"I feel it was good, our team has some obvious failing that stops up from playing at a consistent level. ",XGDI it's not very competitive the aram map is a valid map choice.,we lost 2 of our 6 members from last season.,west,6,24,D1,D1,D2,D4,D5,"D1, D1, D2, D4, D5, P4",2857.5,2919,2794.1666666666665,2596,"2919, 2875, 2846, 2790, 2739, 2596","25, 25, 24, 22, 21, 17",b-southeast,16,11,20,4,11
Bunker Fun Time,Zednem#0364,yes,Bunker Fun Time,Div C,7,A(1) C(6),"Tripbar, Msyerysyn",Balance winning with fun,C,"Not sure as we had a lot of roster difficulties, and could not put our best foot forward.",,,east,7,18.75,D4,D5,P4,G1,G2,"D4, D5, P4, G1, G2, G2, G5",2741.5,2798,2697.8571428571427,2597,"2798, 2740, 2736, 2692, 2664, 2658, 2597","22, 21, 17, 15, 14, 14, 11",c-east,0,22,0,0,11
Amateur Opponents,BeautHoliday#3846,yes,Amateur Opponents,BNE,4,BNE,Ulysses,Balance winning with fun,B,Placement was good. Yellow Owls were pretty suspect and unsure they shoulda been in B with basically no games played but they were beatable I suppose. ,XGDI,Not particularly. My team practices generally from 930/10pm EST so it's really hard to be comfortably in either time block. ,west,6,22.25,D2,D3,D4,P1,P1,"D2, D3, D4, P1, P1, P3",2813.5,2913,2773,2624,"2913, 2789, 2780, 2772, 2760, 2624","24, 23, 22, 20, 20, 18",b-northeast,19,7,25,6,11
Bronze6,Danny#5894,yes,Bronze6,Nexus,4,Nexus,,Very Competitive,idk,Good,NGS Summer upper bracket. IHOP pancake eating competition.,I like to eat spicy mango slices from trader joes during games. Sometimes it gets my fingers messy and i have to wash my hands between matches and i lie and say i need to use the restroom. ,west,8,25.75,M450,M692,M1680,D1,D1,"M450, M692, M1680, D1, D1, D2, D4, D4",2970.5,3120,2887.25,2734,"3120, 2981, 2905, 2876, 2847, 2839, 2796, 2734","26, 26, 26, 25, 25, 24, 22, 22",nexus,14,7,19,5,9
The ProBUs Strikes Back,Desdaa#4937,yes,The ProBUs Strikes Back,D East,7,D East,,Balance winning with fun,C East,"We had a good season. It’s always hard seeing the gap between the highest and lowest teams, but I think the majority of us were pretty well matched against each other. ",Some teammates have played in Heroes Lounge competitions for fun - not serious at all. ,"Although almost all of us jumped quite a bit in SL rank this last season, we feel C would be the best place for us. ",east,9,22.25,M152,D4,D5,P1,P3,"M152, D4, D5, P1, P3, P3, P4, P5, G5",2740.25,2849,2683.6666666666665,2581,"2849, 2711, 2701, 2700, 2687, 2660, 2654, 2610, 2581","26, 22, 21, 20, 18, 18, 17, 16, 11",d-east,17,7,24,7,11
Caffeinated Knights,Arcloth#4515,yes,Caffeinated Knights,Nexus,4,Nexus,DrkHwk was a sub who didn't play before and moving into the main roster,Balance winning with fun,Div A/Nexus,"Our placement last season seemed pretty fair even if our team struggled much of the season, we seemed to be improving by the end. Our team may be weaker than last season, at least with the practices so far. ",We played in NGS Div A and B as well as Heroes Lounge Div 1 and 2,Our team has had significant role changes as our healer is taking time off and our off laner sub is stepping into the main roster,east,6,26.25,GM,M1480,M1,M1435,D2,"GM, M1480, M1, M1435, D2, D3",2923,3038,2856.1666666666665,2661,"3038, 2930, 2921, 2803, 2784, 2661","27, 26, 26, 26, 24, 23",nexus,11,12,13,2,9
Phoenix Rising Amethyst,LtlBearista#0587,yes,Phoenix Rising Amethyst,Div E West,4,Div E,Dominic4192,Balance winning with fun,Div E,"The competition in our division (Div E West) was quite steep. There were teams with platinum level players, and we could not keep up with them. Although we lost every game, we still had fun. I'm hoping to win a few more this season. ","We have and are currently competing in Nexomania, and are doing better than we did in NGS. The level of play is much more diverse, though, including teams that had very new players. We actually have accomplished some victories, and had fun while doing so. ",Nothing that hasn't already been said. ,west,6,7.25,S1,S4,S4,B1,B1,"S1, S4, S4, B1, B1, B1",2498.75,2532,2473.1666666666665,2415,"2532, 2520, 2511, 2432, 2429, 2415","10, 7, 7, 5, 5, 5",e-west,0,24,0,0,12
Artemis,S3V3N1960#0228,yes,Artemis,C,6,C,,Less competitive more for fun,C. Will be less competitive than last season.,Last season was one of the most balanced divisions that I have ever played in. Really well done.,0-12 record in CCS Nexomania!,Suspect that we will be a lot less competitive with scheduling/subs/roleswaps all factoring in this season,west,6,18.5,D5,P2,P2,G1,G4,"D5, P2, P2, G1, G4, S3",2773.5,2922,2715.1666666666665,2556,"2922, 2791, 2720, 2661, 2641, 2556","21, 19, 19, 15, 12, 8",c-west,20,7,25,5,11
Can't Connect Stuns,Wolfe#3772,yes,Can't Connect Stun,C west,4,C,Arik,Balance winning with fun,ended in semis of playoffs would be happy to try b otherwise c,good,nexomaina generally equalivent of b,,west,5,18.75,D5,P2,P3,P4,P5,"D5, P2, P3, P4, P5",2764,2874,2734.6,2617,"2874, 2789, 2755, 2638, 2617","21, 19, 18, 17, 16",c-west,15,11,20,5,11
Tricky Gooses,Duck#5573,yes,Tricky Gooses,A East,"All rostered members from season end, but lost CarpeDiem ",A East,,Less competitive more for fun,struggling A East; competitive B East,"Felt like a struggle every week to be competitive in most games. We had roster issues due to an immediate quit from a player who felt we shouldnt have been in A, which made it that much harder early/mid season","Nexomania, not very competitive. Losing weekly and most teams running memes, so hard to gauge what those loses mean.",NaNaNi intends to sit out the season but remain rostered as a backup in case of emergencies this season; he is possibly our strongest player so not sure how this will effect our overall strength. I (Duck) intend to play this whole season after sitting out a lot of last season unless we needed a player.,east,6,25,M1,D1,D1,D2,P1,"M1, D1, D1, D2, P1, P3",2864,2976,2816.5,2667,"2976, 2855, 2826, 2799, 2776, 2667","26, 25, 25, 24, 20, 18",a-east,10,13,13,3,10
Bad By Design,Althyne#0840,yes,Bad by Design,Div B SE,6,Div B SE,,Balance winning with fun,Div B,"Placement seemed relatively okay for the middle of the pack for the division, but the top two and maybe bottom 2 teams felt like they could have been in other divisions respectively.","Half of us did Heroes Lounge when it originally started,",,east,6,20.75,D4,D5,P1,P1,P2,"D4, D5, P1, P1, P2, P3",2801.5,2833,2766.6666666666665,2697,"2833, 2830, 2823, 2720, 2697, 2697","22, 21, 20, 20, 19, 18",b-southeast,14,12,19,5,11
Cool Cats and Kittens,Beowulf#5868,yes,Cool Cats & Kittens,C West,6,C West,None,Balance winning with fun,B West / C West,"Last season was a lot of fun as usual, definitely less stratified than D West.","We play in Nexomania, but honestly I have no idea what our league name signifies in terms of competitive level. Seems like roughly the same as our NGS C West group.","We're looking to push ourselves, and think moving up to B West would be a lot of fun. At the same time, I recognize that B is a pretty saturated division already, so I understand if C still seems like an acceptable fit.",west,6,21.25,D3,D4,D4,P3,G5,"D3, D4, D4, P3, G5, S4",2818.5,2882,2748.1666666666665,2530,"2882, 2882, 2790, 2720, 2685, 2530","23, 22, 22, 18, 11, 7",c-west,17,7,24,7,11
Heavy Slaps,Lupus64 - BaronKyle#1799,yes,Heavy Slaps,Div C East,4,Div C East,,Very Competitive,Division C East,"Placement was good. Still the usual NGS vibe of one team in our Div being placed to low and largely dominating everyone. Really wish that would stop being a thing. Last season it was House of Chez, season before it was You Are Not Alone.","A few of us have played in a smattering of Heroes Lounge and other invitationals (XGDI, CCS Nexomania) with a serious to casual level of competition, respectively",,east,6,20.25,D4,D5,D5,P4,G2,"D4, D5, D5, P4, G2, G3",2794.25,2913,2738.5,2599,"2913, 2833, 2766, 2665, 2655, 2599","22, 21, 21, 17, 14, 13",c-east,15,15,18,3,11
ReGen Divine,bankai#8407,yes,ReGen Divine,C West,"bAnKai, Silent Shoo, WaffleCopter, Absolute Yota & Arch Valley",C West,Vaikael,Very Competitive,Div B or Div C ,They nail the placement for last season. Props to them for their hard work ,ReGen Divine did compete in the NGS Summer Event and made it to the Quarter Finals. We are currently in the XGDi Invitational Event as well. According to the standings we have been playing teams in higher Divisions and it has been very competitive.,N/A,west,5,19.5,M36,D4,P1,S1,S2,"M36, D4, P1, S1, S2",2775.5,2913,2683.2,2314,"2913, 2826, 2802, 2561, 2314","26, 22, 20, 10, 9",c-west,18,8,25,7,11
"Fight, You Cowardly King!",Pina Colada#1327,yes,Deckard's Erudition ,Div B North East ,6 we have 3 from the team last season and 3 that were added but are returning from last seaon ,Div B/ Div E,"Arthanau#1690,marczombie#1192,SirAlan001#1729 these aren't new players but new to the team ",Balance winning with fun,Id say Div B would fit us well again if not we lost alot of our higher and stronger players and have taken things to a more calmer and chiller environment  so Div C could work as well ,I would rate our div placement a 8 out of 10 we fit pretty well every match wasn't a walk in the park which was nice it kept us on our toes and pushed us to get better ,We have not played anywhere else but NGS,Nothing really besides we have alot of former div b/e players ,east,7,20.75,D4,D4,D5,P3,P5,"D4, D4, D5, P3, P5, P5, G1",2758.25,2766,2717.285714285714,2552,"2766, 2760, 2757, 2750, 2731, 2705, 2552","22, 22, 21, 18, 16, 16, 15",new team,,,,,
TRSG Knights,Hunterpurebred#9337,yes,TRSG Knights,Division D West,4,Divison D West,Choklatte and ThaDuke and Julia,Balance winning with fun,We did very well in Division D West. I'd say we are somewhere between top of Division D West and Bottom of Division C West.,"I would put it at about a 6. We had some super easy games, we had some tougher ones. Teams got much more competitive in finals. ",No.,N/a,west,7,18.75,P1,P2,P3,P3,P4,"P1, P2, P3, P3, P4, P5, G4",2726,2756,2687,2587,"2756, 2738, 2736, 2674, 2662, 2656, 2587","20, 19, 18, 18, 17, 16, 12",d-west,20,2,30,10,11
Beyond Gaming,Goose#9889,yes,Beyond Gaming,B,4,B,"Haileycat, Darkseid, Foreshadow",Balance winning with fun,B?,We were placed WAY too high; we won 1 map all season. ,N/A,,east,7,24,M276,M2638,D4,D4,D5,"M276, M2638, D4, D4, D5, P3, P4",2845,2929,2786.1428571428573,2653,"2929, 2896, 2783, 2772, 2754, 2716, 2653","26, 26, 22, 22, 21, 18, 17",b-southeast,3,20,4,1,11
Match Ready,GGGrace#3025,yes,MatchReady,DivA,4,divA,Kroven,Very Competitive,Nexus/Heroic,"divA was great, after winning it we are ready for more",no,no,west,5,25.5,M2110,M1019,M926,D2,D2,"M2110, M1019, M926, D2, D2",2220,2995,2352.4,2882,", 2995, 2991, 2894, 2882","26, 26, 26, 24, 24",a-west,18,12,22,4,12
